58|Ap #175-4156 Sagittis St.|I90 1YG|Castiglione di Garfagnana|Norfolk Island
59|333-9751 Commodo Rd.|403862|Sunshine Coast Regional District|Antigua and Barbuda
60|Ap #659-4730 Laoreet Ave|C4M 7C8|Fuenlabrada|Guernsey
61|P.O. Box 631, 9258 Tortor, Avenue|33991|Guelph|Guatemala
62|254-9675 Etiam Ave|89919|Schriek|Panama
63|6322 Ultrices, Rd.|13-433|Duffel|Thailand
64|621-2429 Pellentesque Rd.|5037 OZ|Alexandria|Palestine, State of
65|Ap #209-8964 Id, St.|2135|Saint-Martin|Uganda
66|Ap #348-9798 Eu Av.|32934|Las Palmas|Tanzania
67|P.O. Box 477, 3046 Lorem, Road|L3B 6T3|Wokingham|Guinea
68|P.O. Box 839, 670 Aliquet. Ave|60283|Houffalize|Cameroon
69|5566 Accumsan Avenue|21379-966|Pramaggiore|Paraguay
70|666-2968 Etiam Ave|2515 PC|Glimes|Mozambique
71|P.O. Box 460, 8696 Quam. Rd.|677097|Sant'Elia a Pianisi|Bulgaria
72|Ap #323-9120 Orci Ave|65698-169|Dolcedo|Martinique
73|207 Fermentum Avenue|82661|Lakewood|Laos
74|P.O. Box 881, 1652 Pharetra. Rd.|16-365|Billings|United Arab Emirates
75|1733 Pede. St.|A3 7RN|Murray Bridge|Netherlands
76|267-5964 Vivamus Rd.|81-251|Watermaal-Bosvoorde|Northern Mariana Islands
77|8720 Nec Road|H0S 1M9|Whitby|Togo
78|P.O. Box 548, 8328 Volutpat Rd.|K9Z 9L5|Morrinsville|American Samoa
79|490-217 Pellentesque Rd.|6136|Swan Hills|Oman
80|486-2016 Sem Av.|963580|Chapecó|Mongolia
81|6678 Velit. Street|0022 KX|Terme|Vanuatu
82|Ap #697-6495 Morbi St.|4485 LZ|Palakkad|Lesotho
83|Ap #758-6785 Sociosqu St.|53282|Lota|Lebanon
84|5356 Est, Street|UR42 1WO|Hollabrunn|Greece
85|Ap #252-204 Amet St.|20561|Londrina|Greenland
86|7120 Non, St.|T7J 9E3|Püttlingen|Cook Islands
87|878-1516 Mauris Road|5231|Worms|Svalbard and Jan Mayen Islands
88|234-5042 Morbi Ave|E1V 2H2|Affligem|United Kingdom (Great Britain)
89|806-5324 Libero Road|35927|Montecarotto|Bahamas
90|P.O. Box 221, 5764 Aliquam St.|2381|Ludwigsburg|Jamaica
91|6375 At Rd.|967602|San Felipe|Isle of Man
92|P.O. Box 709, 9566 Pharetra, Avenue|35687|Rotello|Azerbaijan
93|Ap #911-2375 Amet Avenue|265963|Solihull|Brunei
94|Ap #909-1553 Tempus Rd.|128326|Sovizzo|New Caledonia
95|P.O. Box 340, 9998 Consequat St.|3228|Amaro|Mali
96|Ap #362-6638 Sed Rd.|47-458|Graneros|Chile
97|P.O. Box 305, 8561 Ullamcorper Rd.|B7W 6Z5|Biarritz|Togo
98|P.O. Box 775, 5313 A, Avenue|I95 6MI|Waterbury|Wallis and Futuna
99|124-4632 Libero. Avenue|81-369|Vergnies|Poland
100|Ap #880-364 Libero. St.|45-076|Poederlee|Guadeloupe
